CV_ID,years_experience,highest_degree,skills,Job_Role,has_portfolio,raw_text,label
cv1238,5,Masters,"GCP, Docker Compose",Sales Executive,FALSE,Content creator interested in data science but lacks hands-on ML experience.,0
cv1239,8,Bachelors,"Docker Compose, Speech Recognition, HuggingFace",Receptionist,TRUE,Business analyst with reporting experience but limited machine learning exposure.,0
cv1240,3,Bachelors,"Classification, FastAPI, Feature Engineering, Flask, GCP, GPT, LightGBM, Linux, Machine Learning, Pandas, Statistics",Applied ML Engineer,TRUE,"NLP specialist skilled in text preprocessing, fine-tuning transformer models, and evaluation.",1
cv1241,3,Masters,"Clustering, Kubernetes",Data Entry Operator,FALSE,"Marketing intern with experience in social media and campaign analytics, limited coding.",0
cv1242,4,Bachelors,"Python, Data Engineering, Feature Engineering, Reinforcement Learning, XGBoost",Marketing Intern,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1243,1,Bachelors,"Streamlit, GCP, Classification, Docker, Python",Office Assistant,FALSE,Office assistant with administrative experience and basic computer skills.,0
cv1244,7,Bachelors,"NumPy, Linux, HuggingFace, Regression, Time Series, OpenCV",Customer Support,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1245,1,Bachelors,"Regression, NumPy, Scikit-learn, Hadoop",Data Entry Operator,FALSE,Business analyst with reporting experience but limited machine learning exposure.,0
cv1246,6,Bachelors,"BERT, Classification, EDA, Machine Learning, NumPy, PyTorch, PyTorch Lightning, Python, SQL, Spark, Statistics, XGBoost",Computer Vision Engineer,TRUE,"Experienced ML engineer with strong background in model development, deployment, and monitoring.",1
cv1247,3,Masters,"Computer Vision, Docker, EDA, Hadoop, LightGBM, NumPy, Python, SQL, Statistics",Research Scientist,FALSE,Applied ML engineer experienced in productionizing deep learning models on cloud platforms.,1
cv1248,2,PhD,"JSON, Tableau, FastAPI",Sales Executive,TRUE,Business analyst with reporting experience but limited machine learning exposure.,0
cv1249,6,Bachelors,"Statistics, Clustering, Data Engineering, Machine Learning, GPT",Telecaller,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv1250,4,Masters,"BERT, Flask, Linux, NumPy, Pandas, Seaborn, Spark, Statistics",Data Analyst,FALSE,"ML engineer experienced in MLOps, Docker, Kubernetes, and continuous deployment of models.",1
cv1251,9,Bachelors,"CI/CD, XGBoost, OpenCV, Python",Junior Intern,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv1252,10,Bachelors,"Power BI, Matplotlib, Spark, EDA, Docker Compose",Content Writer,FALSE,Office assistant with administrative experience and basic computer skills.,0
cv1253,8,Masters,"AWS, Computer Vision, EDA, HuggingFace, Machine Learning, NumPy, Python, Regression, Reinforcement Learning, SQLAlchemy, Streamlit, TensorFlow",Machine Learning Engineer,FALSE,Applied ML engineer experienced in productionizing deep learning models on cloud platforms.,1
cv1254,5,Bachelors,"Azure, CI/CD, Classification, Data Engineering, Docker Compose, EDA, JSON, Machine Learning, NumPy, Pandas, SQLAlchemy, Scikit-learn, Seaborn",AI Researcher,FALSE,"ML engineer experienced in MLOps, Docker, Kubernetes, and continuous deployment of models.",1
cv1255,3,PhD,"BERT, Computer Vision, Deep Learning, Hadoop, Machine Learning, NumPy, Pandas, PyTorch",Data Analyst,FALSE,"Experienced ML engineer with strong background in model development, deployment, and monitoring.",1
cv1256,0,Masters,"PyTorch Lightning, Classification, PyTorch, EDA",Junior Intern,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv1257,5,Masters,"SQL, SQLAlchemy, Time Series, Signal Processing, GCP, Scikit-learn",Customer Support,FALSE,"Marketing intern with experience in social media and campaign analytics, limited coding.",0
cv1258,8,Bachelors,"Model Deployment, GPT, Power BI, AWS, Computer Vision, NumPy",Administrative Assistant,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv1259,9,Bachelors,"CI/CD, Docker, Git, NumPy, Pandas, Python, Regression, SQLAlchemy",Computer Vision Engineer,FALSE,"Experienced ML engineer with strong background in model development, deployment, and monitoring.",1
cv1260,2,Masters,"BERT, SQLAlchemy, Linux",Sales Executive,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv1261,6,Bachelors,"REST APIs, XGBoost, Feature Engineering, Clustering, NLP, Docker",Receptionist,FALSE,Content creator interested in data science but lacks hands-on ML experience.,0
cv1262,0,Masters,"SQL, OpenCV, Reinforcement Learning, Model Deployment",Sales Executive,FALSE,Business analyst with reporting experience but limited machine learning exposure.,0
cv1263,0,Bachelors,"CI/CD, Linux, Docker Compose, Model Deployment",Office Assistant,FALSE,Junior intern with exposure to data labeling and manual data tasks.,0
cv1264,4,Bachelors,"SQL, Transformer Models, Azure, Reinforcement Learning, Clustering",Telecaller,FALSE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv1265,3,Bachelors,"Reinforcement Learning, PyTorch Lightning, Regression",Administrative Assistant,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1266,8,Masters,"AWS, CI/CD, Deep Learning, Feature Engineering, GPT, HuggingFace, JSON, NLP, NumPy, Pandas, Python, Statistics, XGBoost",Applied ML Engineer,TRUE,"ML engineer experienced in MLOps, Docker, Kubernetes, and continuous deployment of models.",1
cv1267,4,Bachelors,"Speech Recognition, NumPy, Hadoop",Junior Intern,FALSE,Customer support representative with some Excel skills and interest in analytics.,0
cv1268,5,Bachelors,"Model Deployment, PyTorch",Office Assistant,TRUE,Customer support representative with some Excel skills and interest in analytics.,0
cv1269,0,Bachelors,"Deep Learning, LightGBM",Office Assistant,TRUE,Customer support representative with some Excel skills and interest in analytics.,0
cv1270,4,Bachelors,"Data Engineering, JSON, Matplotlib, NLP, NumPy, Python, Reinforcement Learning, Signal Processing, Statistics, Streamlit",Applied ML Engineer,TRUE,"Data scientist with 4+ years in predictive modeling, feature engineering, and A/B testing.",1
cv1271,15,Masters,"BERT, JSON, LightGBM, Machine Learning, Pandas, Python, Scikit-learn, Statistics, Transformer Models",AI Researcher,TRUE,"NLP specialist skilled in text preprocessing, fine-tuning transformer models, and evaluation.",1
cv1272,3,Masters,"Data Visualization, Model Deployment, LightGBM, GCP, Matplotlib, Docker",Sales Executive,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv1273,5,Masters,"Classification, Deep Learning, FastAPI, GCP, Git, Linux, Machine Learning, Model Deployment, NumPy, Python, Scikit-learn, Statistics",Research Scientist,TRUE,"Data scientist proficient in end-to-end ML pipelines, experimentation, and stakeholder communication.",1
cv1274,3,Bachelors,"Docker Compose, NLP, Regression, FastAPI, Streamlit",Marketing Intern,FALSE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv1275,15,Masters,"BERT, Clustering, Machine Learning, NumPy, Power BI, Statistics, Tableau, Transformer Models",Computer Vision Engineer,TRUE,Applied ML engineer experienced in productionizing deep learning models on cloud platforms.,1
cv1276,9,Masters,"CI/CD, Computer Vision, Deep Learning, JSON, Machine Learning, NumPy, Pandas, Power BI, SQL, Scikit-learn, Signal Processing, Speech Recognition, Statistics, Time Series",Applied ML Engineer,TRUE,"Data scientist proficient in end-to-end ML pipelines, experimentation, and stakeholder communication.",1
cv1277,1,Masters,"TensorFlow, REST APIs, Clustering, Statistics, Linux, Power BI",Junior Intern,FALSE,Junior intern with exposure to data labeling and manual data tasks.,0
cv1278,10,Bachelors,"Kubernetes, NumPy",Content Writer,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1279,5,Bachelors,"Speech Recognition, LightGBM, Computer Vision, Machine Learning, Azure, Clustering",Data Entry Operator,TRUE,Office assistant with administrative experience and basic computer skills.,0
cv1280,4,Bachelors,"HuggingFace, CI/CD",Administrative Assistant,FALSE,Content creator interested in data science but lacks hands-on ML experience.,0
cv1281,1,Bachelors,"GCP, Kubernetes, Transformer Models, AWS",Administrative Assistant,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv1282,8,Bachelors,"AWS, FastAPI, Machine Learning, NLP, Pandas, Spark, Statistics",NLP Engineer,FALSE,"NLP specialist skilled in text preprocessing, fine-tuning transformer models, and evaluation.",1
cv1283,3,Masters,"Time Series, Docker Compose, Matplotlib, Statistics, PyTorch Lightning",Telecaller,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv1284,10,Masters,"Computer Vision, Deep Learning, Hadoop, NumPy, Pandas, Python, SQL, XGBoost",AI Researcher,TRUE,"Engineer skilled in time-series forecasting, anomaly detection, and feature engineering.",1
cv1285,3,Masters,"JSON, Deep Learning",Sales Executive,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv1286,5,Bachelors,"TensorFlow, NumPy, PyTorch Lightning, Linux, Docker",Office Assistant,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv1287,2,Bachelors,"Statistics, Tableau, Linux, Scikit-learn",Marketing Intern,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1288,9,Bachelors,"JSON, Hadoop, Scikit-learn",Content Writer,FALSE,Content creator interested in data science but lacks hands-on ML experience.,0
cv1289,1,Masters,"Docker, Feature Engineering, Machine Learning, Model Deployment, NumPy, Python, Speech Recognition, Tableau",ML Engineer,FALSE,"Experienced ML engineer with strong background in model development, deployment, and monitoring.",1
cv1290,8,Bachelors,"BERT, NLP, NumPy, Pandas, Python, REST APIs, Regression, SQLAlchemy, Statistics",Computer Vision Engineer,FALSE,"NLP specialist skilled in text preprocessing, fine-tuning transformer models, and evaluation.",1
cv1291,1,Bachelors,"Classification, SQLAlchemy, OpenCV, TensorFlow, GPT",Marketing Intern,TRUE,Business analyst with reporting experience but limited machine learning exposure.,0
cv1292,4,Bachelors,"Feature Engineering, Docker",Junior Intern,TRUE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv1293,2,PhD,"AWS, Azure, Data Visualization, Flask, GCP, Hadoop, NumPy, Pandas, PyTorch, Python, SQL, Signal Processing, Statistics, XGBoost",Data Scientist,TRUE,Research scientist with strong statistical background and experience publishing reproducible research.,1
cv1294,8,Masters,"XGBoost, Computer Vision, Feature Engineering, Seaborn, TensorFlow, Model Deployment",Marketing Intern,FALSE,Business analyst with reporting experience but limited machine learning exposure.,0
cv1295,4,Bachelors,"Python, Matplotlib, Computer Vision, Transformer Models, Scikit-learn",Administrative Assistant,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1296,0,Bachelors,"PyTorch Lightning, Azure, LightGBM",Administrative Assistant,FALSE,Office assistant with administrative experience and basic computer skills.,0
cv1297,6,Bachelors,"Computer Vision, BERT, NLP, JSON",Office Assistant,FALSE,Customer support representative with some Excel skills and interest in analytics.,0
cv1298,10,Bachelors,"Data Visualization, Power BI",Junior Intern,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv1299,0,Bachelors,"BERT, JSON, Deep Learning",Telecaller,FALSE,Business analyst with reporting experience but limited machine learning exposure.,0
cv1300,10,Masters,"Computer Vision, Machine Learning, NumPy, Pandas, PyTorch Lightning, Python, Statistics, Tableau",ML Engineer,TRUE,"Data scientist proficient in end-to-end ML pipelines, experimentation, and stakeholder communication.",1
cv1301,8,Masters,"BERT, CI/CD, Classification, EDA, Machine Learning, OpenCV, Python, Reinforcement Learning, SQLAlchemy, Signal Processing, Spark, Statistics, Transformer Models, XGBoost",Computer Vision Engineer,FALSE,"Engineer skilled in time-series forecasting, anomaly detection, and feature engineering.",1
cv1302,1,Bachelors,"EDA, LightGBM, SQL, Docker, REST APIs",Junior Intern,TRUE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1303,0,Bachelors,"Model Deployment, Docker, Machine Learning, BERT, NumPy, PyTorch",Data Entry Operator,FALSE,Customer support representative with some Excel skills and interest in analytics.,0
cv1304,7,Masters,"Statistics, Docker, CI/CD",Office Assistant,FALSE,Content creator interested in data science but lacks hands-on ML experience.,0
cv1305,6,Bachelors,"Deep Learning, Docker, EDA, Machine Learning, NumPy, Pandas, Power BI, Python, REST APIs, Reinforcement Learning, TensorFlow, Time Series",Data Analyst,TRUE,Research scientist with strong statistical background and experience publishing reproducible research.,1
cv1306,5,Bachelors,"SQLAlchemy, Power BI, GPT, Feature Engineering, REST APIs",Administrative Assistant,FALSE,Content creator interested in data science but lacks hands-on ML experience.,0
cv1307,2,Bachelors,"LightGBM, Reinforcement Learning, XGBoost, EDA, Feature Engineering, Hadoop",Telecaller,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1308,1,Bachelors,"Model Deployment, Kubernetes, Deep Learning, AWS",Junior Intern,FALSE,Office assistant with administrative experience and basic computer skills.,0
cv1309,5,Bachelors,"Azure, Clustering, Computer Vision, EDA, GCP, HuggingFace, Machine Learning, Python, Regression, Spark, Statistics, Tableau",Data Scientist,TRUE,Applied ML engineer experienced in productionizing deep learning models on cloud platforms.,1
cv1310,7,Masters,"Feature Engineering, CI/CD, NumPy, Streamlit",Administrative Assistant,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1311,0,Masters,"PyTorch Lightning, FastAPI, OpenCV, LightGBM, Matplotlib, Docker",Customer Support,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv1312,4,PhD,"FastAPI, Power BI, PyTorch Lightning",Administrative Assistant,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv1313,0,Bachelors,"Seaborn, Python, Kubernetes, Scikit-learn, CI/CD, Git",Marketing Intern,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv1314,0,Masters,"Machine Learning, Seaborn, TensorFlow, SQL",Junior Intern,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1315,6,Masters,"Classification, Data Visualization, Docker, NumPy, Pandas, PyTorch, Statistics",Applied ML Engineer,TRUE,Research scientist with strong statistical background and experience publishing reproducible research.,1
cv1316,2,PhD,"LightGBM, Git, SQL, Regression",Customer Support,FALSE,Business analyst with reporting experience but limited machine learning exposure.,0
cv1317,3,Masters,"Classification, Data Engineering, Tableau, Python",Administrative Assistant,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1318,1,Bachelors,"Tableau, Feature Engineering, Power BI",Data Entry Operator,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv1319,6,Bachelors,"Linux, HuggingFace, SQLAlchemy, Clustering",Telecaller,FALSE,Content creator interested in data science but lacks hands-on ML experience.,0
cv1320,1,Masters,"Time Series, Data Engineering, XGBoost, Kubernetes, Speech Recognition",Junior Intern,TRUE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv1321,12,Masters,"BERT, Computer Vision, Flask, JSON, Matplotlib, NumPy, Pandas, Python",AI Researcher,FALSE,"Researcher focused on NLP and transformer-based models, with publications in top conferences.",1
cv1322,13,PhD,"BERT, Docker, Feature Engineering, GCP, Git, Hadoop, LightGBM, Machine Learning, Matplotlib, NumPy, Python, SQLAlchemy, Scikit-learn, Statistics, XGBoost",Data Scientist,TRUE,"Computer vision engineer with experience in object detection, segmentation, and optimization.",1
cv1323,0,Bachelors,"Statistics, FastAPI, Computer Vision",Marketing Intern,FALSE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv1324,2,Bachelors,"Python, Git, Model Deployment, Seaborn, Hadoop, Power BI",Receptionist,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1325,1,Bachelors,"Docker, BERT",Telecaller,FALSE,"Marketing intern with experience in social media and campaign analytics, limited coding.",0
cv1326,9,Masters,"Docker Compose, LightGBM, Machine Learning, NumPy, Reinforcement Learning, Scikit-learn, Signal Processing, Statistics",Machine Learning Engineer,FALSE,"Experienced ML engineer with strong background in model development, deployment, and monitoring.",1
cv1327,9,PhD,"Azure, CI/CD, Kubernetes, LightGBM, Machine Learning, Power BI, Python, Regression, Scikit-learn, Statistics, Streamlit, XGBoost",Senior Data Scientist,TRUE,"Data scientist with 4+ years in predictive modeling, feature engineering, and A/B testing.",1
cv1328,0,Masters,"Docker Compose, Feature Engineering, Power BI",Marketing Intern,FALSE,Customer support representative with some Excel skills and interest in analytics.,0
cv1329,8,PhD,"PyTorch, Statistics, Seaborn, Regression, AWS, Classification",Junior Intern,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv1330,3,Bachelors,"EDA, AWS, Streamlit, Computer Vision, Power BI, Time Series",Telecaller,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv1331,0,Masters,"Model Deployment, Python, Scikit-learn, Hadoop, Data Visualization",Sales Executive,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv1332,3,Masters,"Python, Statistics, NLP, PyTorch",Receptionist,TRUE,Business analyst with reporting experience but limited machine learning exposure.,0
cv1333,3,PhD,"Deep Learning, JSON, Time Series, Power BI",Telecaller,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv1334,10,Bachelors,"LightGBM, SQL, Spark, CI/CD, Pandas",Content Writer,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv1335,8,PhD,"Model Deployment, Machine Learning, OpenCV, Python",Customer Support,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1336,4,Bachelors,"XGBoost, Model Deployment, Data Engineering, Hadoop, Spark, Seaborn",Marketing Intern,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv1337,1,Bachelors,"OpenCV, EDA, Machine Learning, SQLAlchemy",Administrative Assistant,FALSE,Customer support representative with some Excel skills and interest in analytics.,0
cv1338,0,Masters,"Signal Processing, Kubernetes, OpenCV",Customer Support,FALSE,Recent graduate with coursework in statistics and interest in learning Python.,0
cv1339,2,Bachelors,"PyTorch, Reinforcement Learning, Power BI, BERT, TensorFlow, JSON",Office Assistant,FALSE,Office assistant with administrative experience and basic computer skills.,0
cv1340,10,Masters,"Docker Compose, FastAPI, Linux, Machine Learning, NLP, NumPy, Pandas, REST APIs, Regression, Reinforcement Learning, XGBoost",Research Scientist,FALSE,"Data scientist with 4+ years in predictive modeling, feature engineering, and A/B testing.",1
cv1341,3,Bachelors,"Docker, SQL",Data Entry Operator,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1342,3,Bachelors,"REST APIs, OpenCV, Linux",Telecaller,FALSE,"Marketing intern with experience in social media and campaign analytics, limited coding.",0
cv1343,1,Masters,"Matplotlib, Speech Recognition, PyTorch Lightning, Deep Learning",Office Assistant,FALSE,Content creator interested in data science but lacks hands-on ML experience.,0
cv1344,1,Bachelors,"GCP, Transformer Models, HuggingFace, GPT, SQL, Spark",Telecaller,FALSE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv1345,3,Masters,"Spark, REST APIs, AWS, Power BI",Sales Executive,TRUE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1346,0,Masters,"BERT, SQLAlchemy, Docker Compose, Speech Recognition, Kubernetes",Telecaller,FALSE,Office assistant with administrative experience and basic computer skills.,0
cv1347,2,Bachelors,"Tableau, LightGBM, Azure, Reinforcement Learning, GCP",Sales Executive,FALSE,Junior intern with exposure to data labeling and manual data tasks.,0
cv1348,2,Bachelors,"Clustering, EDA, Kubernetes, Matplotlib, NumPy, OpenCV, Pandas, Power BI, Statistics",Data Scientist,TRUE,"Researcher focused on NLP and transformer-based models, with publications in top conferences.",1
cv1349,1,Bachelors,"Docker, Kubernetes, Spark",Data Entry Operator,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv1350,0,Masters,"Statistics, Docker Compose, Clustering, TensorFlow",Data Entry Operator,FALSE,Business analyst with reporting experience but limited machine learning exposure.,0
cv1351,0,Bachelors,"Reinforcement Learning, CI/CD, Statistics, BERT, Data Engineering, Regression",Receptionist,TRUE,Junior intern with exposure to data labeling and manual data tasks.,0
cv1352,0,Bachelors,"Docker Compose, Feature Engineering, Power BI, TensorFlow",Data Entry Operator,FALSE,Business analyst with reporting experience but limited machine learning exposure.,0
cv1353,4,Masters,"NLP, PyTorch Lightning",Administrative Assistant,FALSE,Business analyst with reporting experience but limited machine learning exposure.,0
cv1354,3,Bachelors,"Matplotlib, Statistics, PyTorch, Computer Vision",Receptionist,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv1355,2,Bachelors,"Flask, NumPy, REST APIs, Time Series, GPT, Matplotlib",Data Entry Operator,FALSE,"Marketing intern with experience in social media and campaign analytics, limited coding.",0
cv1356,0,Bachelors,"Streamlit, Seaborn, TensorFlow",Data Entry Operator,FALSE,Content creator interested in data science but lacks hands-on ML experience.,0
cv1357,0,Masters,"Data Visualization, Python, Time Series",Content Writer,FALSE,Junior intern with exposure to data labeling and manual data tasks.,0
cv1358,9,Masters,"Scikit-learn, NLP, Power BI, Time Series, SQL, Docker",Administrative Assistant,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1359,0,Masters,"Docker, Feature Engineering, Matplotlib, SQL",Marketing Intern,FALSE,Business analyst with reporting experience but limited machine learning exposure.,0
cv1360,2,Masters,"Signal Processing, REST APIs, SQL",Content Writer,FALSE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv1361,6,Masters,"OpenCV, Computer Vision",Office Assistant,FALSE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv1362,2,PhD,"EDA, Machine Learning, NumPy, Pandas, Power BI, Python, SQLAlchemy, Spark, XGBoost",Senior Data Scientist,FALSE,"Computer vision engineer with experience in object detection, segmentation, and optimization.",1
cv1363,9,Bachelors,"Reinforcement Learning, Computer Vision, EDA, Statistics",Sales Executive,FALSE,"Sales professional with strong communication skills, looking to transition to analytics.",0
cv1364,2,Bachelors,"Deep Learning, NLP, Git",Customer Support,FALSE,Content creator interested in data science but lacks hands-on ML experience.,0
cv1365,12,PhD,"CI/CD, LightGBM, Machine Learning, Model Deployment, NumPy, Pandas, Signal Processing, Time Series",Applied ML Engineer,TRUE,"Engineer skilled in time-series forecasting, anomaly detection, and feature engineering.",1
cv1366,6,Masters,"Azure, Spark, Flask, CI/CD, Kubernetes",Office Assistant,FALSE,"Marketing intern with experience in social media and campaign analytics, limited coding.",0
cv1367,1,Bachelors,"Computer Vision, Classification, LightGBM, Regression",Telecaller,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv1368,0,Bachelors,"Feature Engineering, Scikit-learn, Kubernetes, REST APIs",Marketing Intern,FALSE,Office assistant with administrative experience and basic computer skills.,0
cv1369,0,Bachelors,"Regression, FastAPI, Pandas",Marketing Intern,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv1370,1,Masters,"Kubernetes, REST APIs, EDA, Transformer Models, NLP, Flask",Customer Support,FALSE,Content creator interested in data science but lacks hands-on ML experience.,0
cv1371,2,Bachelors,"Data Engineering, Docker Compose, REST APIs",Customer Support,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1372,0,Bachelors,"GCP, Seaborn, HuggingFace, EDA, Signal Processing",Customer Support,FALSE,Content creator interested in data science but lacks hands-on ML experience.,0
cv1373,2,Masters,"SQLAlchemy, Clustering, Pandas, Scikit-learn",Telecaller,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1374,0,Masters,"Data Engineering, Kubernetes, Reinforcement Learning, Signal Processing, Classification, PyTorch Lightning",Telecaller,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv1375,4,Masters,"Computer Vision, FastAPI, Machine Learning, NumPy, REST APIs, Regression, SQL, Seaborn, Signal Processing, Statistics",Computer Vision Engineer,TRUE,"ML engineer experienced in MLOps, Docker, Kubernetes, and continuous deployment of models.",1
cv1376,5,Masters,"BERT, Classification, Data Engineering, Docker Compose, Flask, Machine Learning, NumPy, PyTorch, PyTorch Lightning, Python, REST APIs, Speech Recognition, Transformer Models",Data Scientist,TRUE,"NLP specialist skilled in text preprocessing, fine-tuning transformer models, and evaluation.",1
cv1377,8,Masters,"AWS, CI/CD, Machine Learning, Matplotlib, Python, Spark, Statistics",NLP Engineer,FALSE,"Data scientist proficient in end-to-end ML pipelines, experimentation, and stakeholder communication.",1
cv1378,0,PhD,"Flask, SQL, GCP, Streamlit, XGBoost, Clustering",Receptionist,FALSE,Office assistant with administrative experience and basic computer skills.,0
cv1379,4,Masters,"Deep Learning, FastAPI, Feature Engineering, GCP, GPT, HuggingFace, JSON, Machine Learning, Model Deployment, Pandas, PyTorch, Python, Statistics, Streamlit",Computer Vision Engineer,FALSE,"Researcher focused on NLP and transformer-based models, with publications in top conferences.",1
cv1380,4,Bachelors,"XGBoost, HuggingFace, Model Deployment",Telecaller,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv1381,2,Masters,"REST APIs, Data Visualization, Streamlit, Seaborn, Signal Processing, Model Deployment",Receptionist,FALSE,Business analyst with reporting experience but limited machine learning exposure.,0
cv1382,9,Masters,"BERT, Hadoop, JSON, Machine Learning, NumPy, Python, Regression",Research Scientist,TRUE,"NLP specialist skilled in text preprocessing, fine-tuning transformer models, and evaluation.",1
cv1383,5,Masters,"Deep Learning, LightGBM, Linux, Machine Learning, Pandas, PyTorch, Python, Scikit-learn",Data Scientist,TRUE,"Data scientist with 4+ years in predictive modeling, feature engineering, and A/B testing.",1
cv1384,4,Masters,"Scikit-learn, Python, JSON, Feature Engineering, AWS, Git",Marketing Intern,FALSE,"Marketing intern with experience in social media and campaign analytics, limited coding.",0
cv1385,5,Masters,"Clustering, Feature Engineering, Machine Learning, NumPy, Python, Spark, TensorFlow",Applied ML Engineer,TRUE,"ML engineer experienced in MLOps, Docker, Kubernetes, and continuous deployment of models.",1
cv1386,1,Masters,"Docker Compose, Linux, Data Visualization, Deep Learning, HuggingFace, Classification",Receptionist,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1387,2,Bachelors,"PyTorch Lightning, Spark, AWS, TensorFlow, Classification, Data Visualization",Administrative Assistant,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1388,6,Bachelors,"TensorFlow, GCP, Tableau, Speech Recognition, Regression, Git",Office Assistant,FALSE,"Receptionist experienced in communication and scheduling, no ML projects.",0
cv1389,8,Masters,"Tableau, LightGBM, SQL, Model Deployment",Junior Intern,FALSE,Business analyst with reporting experience but limited machine learning exposure.,0
cv1390,11,Bachelors,"AWS, CI/CD, Data Engineering, Data Visualization, Machine Learning, NumPy, Python, REST APIs, Regression, Speech Recognition, Statistics",Machine Learning Engineer,TRUE,Research scientist with strong statistical background and experience publishing reproducible research.,1
cv1391,8,Masters,"AWS, Computer Vision, Machine Learning, PyTorch Lightning, Python, Reinforcement Learning, SQL, Scikit-learn, Statistics",Research Scientist,TRUE,Research scientist with strong statistical background and experience publishing reproducible research.,1
cv1392,0,Bachelors,"Spark, Regression, Git, Deep Learning",Telecaller,FALSE,"Marketing intern with experience in social media and campaign analytics, limited coding.",0
cv1393,5,Masters,"OpenCV, Python, Docker, Signal Processing, REST APIs, Time Series",Data Entry Operator,FALSE,Office assistant with administrative experience and basic computer skills.,0
cv1394,2,Bachelors,"Classification, Feature Engineering, Git, Kubernetes, Machine Learning, Pandas, Scikit-learn, Signal Processing, Statistics, Streamlit, TensorFlow",Computer Vision Engineer,TRUE,Research scientist with strong statistical background and experience publishing reproducible research.,1
cv1395,3,Masters,"Classification, FastAPI, Hadoop, Data Engineering, GCP",Marketing Intern,TRUE,Business analyst with reporting experience but limited machine learning exposure.,0
cv1396,0,Masters,"Reinforcement Learning, JSON",Telecaller,FALSE,Junior intern with exposure to data labeling and manual data tasks.,0
cv1397,4,Masters,"Seaborn, Machine Learning, Spark, Data Visualization, Deep Learning",Customer Support,FALSE,Entry-level candidate familiar with MS Excel and basic data entry tasks.,0
cv1398,8,Masters,"Data Visualization, Scikit-learn, Kubernetes",Content Writer,FALSE,Office assistant with administrative experience and basic computer skills.,0
